Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
9684,-0.02,-0.01,-1.04,28.06,2.27,0.69,0.04
9789,-0.02,-0.00,-1.04,28.11,2.35,0.69,0.00
9893,-0.03,0.00,-1.04,28.11,2.37,0.67,-0.05
9998,-0.03,0.00,-1.04,28.11,2.22,0.76,0.14
10102,-0.02,-0.00,-1.04,28.25,2.15,0.78,0.27
10208,-0.03,-0.00,-1.04,28.11,2.40,0.66,0.25
10312,-0.04,-0.01,-1.04,28.01,2.24,0.78,0.33
10417,-0.02,-0.01,-1.03,28.15,2.46,0.79,0.25
10521,-0.02,0.00,-1.04,28.11,2.18,0.68,-0.04
10626,-0.02,-0.00,-1.05,28.06,2.13,0.75,0.18
10730,-0.03,-0.01,-1.03,28.11,2.30,0.58,0.08
10834,-0.02,0.00,-1.04,28.11,2.23,0.75,-0.10
10939,-0.02,-0.01,-1.05,28.15,2.31,0.69,0.10
11043,-0.03,-0.00,-1.04,28.11,2.45,0.62,0.08
11149,-0.03,-0.01,-1.04,28.20,2.40,0.66,0.17
11253,-0.03,-0.00,-1.04,28.15,2.23,0.69,0.10
11358,-0.03,0.00,-1.04,28.11,2.18,0.85,0.08
11462,-0.03,-0.01,-1.04,28.15,2.27,0.71,0.03
11567,-0.02,-0.01,-1.05,28.01,2.36,0.87,0.15
11671,-0.03,-0.01,-1.04,28.11,2.52,0.76,0.08
11776,-0.03,-0.01,-1.05,28.01,2.16,0.78,0.12
11880,-0.02,0.00,-1.04,28.06,2.51,0.58,0.08
11984,-0.03,-0.00,-1.04,28.11,2.45,0.66,0.09
12090,-0.03,-0.00,-1.05,28.15,2.19,0.63,0.06
12194,-0.03,-0.00,-1.04,28.15,2.30,0.76,0.13
12299,-0.02,-0.01,-1.05,28.11,2.25,0.71,0.11
12403,-0.02,-0.01,-1.04,28.15,2.27,0.78,0.20
12508,-0.02,-0.00,-1.04,28.11,2.44,0.79,0.17
12612,-0.02,-0.00,-1.04,28.06,2.40,0.81,0.18
12717,-0.03,-0.00,-1.05,28.11,2.53,0.85,0.11
12821,-0.03,-0.00,-1.04,28.15,2.27,0.89,0.01
12925,-0.03,-0.00,-1.05,28.01,2.21,0.72,0.07
13031,-0.03,-0.00,-1.04,28.06,2.22,0.60,0.18
13135,-0.02,-0.01,-1.05,28.11,2.26,0.73,0.19
13240,-0.02,-0.01,-1.04,28.15,2.29,0.69,0.09
13344,-0.03,-0.01,-1.04,28.11,2.37,0.74,-0.05
13449,-0.02,-0.01,-1.04,28.06,2.41,0.77,-0.05
13553,-0.03,-0.01,-1.04,28.11,2.21,0.77,0.17
13658,-0.02,-0.01,-1.04,28.11,2.24,0.78,0.06
13762,-0.03,-0.01,-1.05,28.15,2.23,0.78,0.22
13868,-0.02,0.00,-1.05,28.11,2.31,0.63,0.21
13972,-0.02,0.00,-1.04,28.20,2.39,0.61,0.09
14076,-0.02,-0.00,-1.04,28.20,2.27,0.77,0.10
14181,-0.03,0.00,-1.04,28.15,2.37,0.87,0.08
14285,-0.03,-0.01,-1.04,28.11,2.50,0.82,0.12
14390,-0.03,-0.00,-1.03,28.15,2.12,0.70,-0.05
14494,-0.03,-0.00,-1.04,28.11,2.22,0.86,0.03
14599,-0.03,0.00,-1.04,28.06,2.16,0.72,0.05
14703,-0.03,-0.01,-1.04,28.01,2.36,0.92,0.19
14808,-0.03,-0.01,-1.05,28.11,2.27,0.80,0.04
14913,-0.03,-0.01,-1.04,28.20,2.35,0.72,0.03
15017,-0.02,0.00,-1.04,28.15,2.31,0.84,0.08
15122,-0.03,-0.01,-1.03,28.15,2.40,0.76,0.14
15226,-0.02,-0.01,-1.04,28.11,2.20,0.87,0.19
15331,-0.03,0.00,-1.04,28.06,2.40,0.71,0.20
15435,-0.03,-0.01,-1.05,28.20,2.21,0.86,0.11
15540,-0.03,-0.00,-1.04,28.06,2.24,0.90,0.09
15644,-0.03,-0.00,-1.04,28.11,2.52,0.71,0.12
15749,-0.03,-0.00,-1.04,28.15,2.24,0.79,0.07
15854,-0.03,-0.01,-1.05,28.11,2.29,0.79,0.06
15959,-0.03,-0.01,-1.05,28.20,2.18,0.93,-0.04
16063,-0.03,-0.01,-1.04,28.15,2.39,0.79,0.05
16167,-0.03,-0.01,-1.04,28.15,2.15,0.90,0.13
16272,-0.02,-0.01,-1.04,28.01,2.55,0.85,-0.02
16376,-0.03,-0.00,-1.04,28.15,2.34,0.63,0.12
16481,-0.03,-0.00,-1.04,28.11,2.47,0.98,-0.05
16585,-0.02,-0.01,-1.05,28.06,2.40,0.74,0.08
