timestamp,X,Y,Z
2,0.0,0.0,0.0
16,0.0,0.0,0.0
56,0.0,0.0,0.0
105,0.0,0.0,0.0
152,0.0,0.0,0.0
202,0.0,0.0,0.0
248,0.0,0.0,0.0
294,0.0,0.0,0.0
345,0.0,0.0,0.0
395,0.0,0.0,0.0
444,0.0,0.0,0.0
491,0.0,0.0,0.0
538,0.0,0.0,0.0
587,0.0,0.0,0.0
635,0.0,0.0,0.0
681,0.0,0.0,0.0
730,0.0,0.0,0.0
776,0.0,0.0,0.0
822,0.0,0.0,0.0
870,0.0,0.0,0.0
918,0.0,0.0,0.0
966,0.0,0.0,0.0
1015,0.0,0.0,0.0
1064,0.0,0.0,0.0
1112,0.0,0.0,0.0
1157,0.0,0.0,0.0
1204,0.0,0.0,0.0
1250,0.0,0.0,0.0
1295,0.0,0.0,0.0
1341,0.0,0.0,0.0
1391,0.0,0.0,0.0
1441,0.0,2.1700651488042815e-06,0.0
1488,0.0,6.510195446412844e-06,1.958147643545883e-06
1536,0.0,1.0850325744021407e-05,5.8744429306376495e-06
1584,0.0,1.5190456041629968e-05,9.790738217729416e-06
1632,0.0,1.953058633923853e-05,1.3707033504821182e-05
1682,0.0,2.387071663684709e-05,1.762332879191295e-05
1732,0.0,2.821084693445565e-05,2.1539624079004716e-05
1779,0.0,3.2550977232064216e-05,2.5455919366096483e-05
1829,0.0,3.689110752967278e-05,2.937221465318825e-05
1879,0.0,4.123123782728134e-05,3.3288509940280015e-05
1931,0.0,4.55713681248899e-05,3.720480522737178e-05
1981,0.0,4.991149842249846e-05,4.112110051446355e-05
2028,0.0,5.425162872010702e-05,4.503739580155532e-05
2079,0.0,5.8591759017715584e-05,4.895369108864709e-05
2127,0.0,6.293188931532415e-05,5.286998637573886e-05
2178,0.0,6.727201961293271e-05,5.678628166283063e-05
2225,0.0,7.161214991054127e-05,6.07025769499224e-05
2275,0.0,7.595228020814984e-05,6.461887223701417e-05
2325,0.0,8.02924105057584e-05,6.853516752410594e-05
2375,4.268436317782455e-06,8.932782075292766e-05,7.714674276075841e-05
2425,1.7500588902908065e-05,0.00010806532007237383,9.546040706968778e-05
2476,4.043483056031058e-05,0.0001370438052691007,0.00012401505725589786
2527,7.361005809499379e-05,0.00017665658682868251,0.00016320400380496287
2577,0.0001220506589835986,0.0002322849046559947,0.00021840848662175828
2626,0.00019500435739575086,0.0003138235778751636,0.0002995233248304104
2676,0.0002977348954645102,0.00042654551915301367,0.00041182143109774364
2728,0.00043164870159195063,0.0005714772015222459,0.000556329278456459
2778,0.0005977722488107732,0.0007493677899494583,0.0007337960318731547
2829,0.0008009079801547627,0.0009652226637057113,0.0009492270706188909
2879,0.0010460612748949794,0.001224195313814227,0.0012077758857168897
2931,0.0013343323459874587,0.001527088723866586,0.001510245460758732
2981,0.0016699988877667876,0.0018783111282663796,0.001861044030148009
3034,0.002061532191080648,0.0022868353973641634,0.002269144464235276
3084,0.0025144304155365897,0.002758178294377611,0.0027400635262382063
3135,0.003030147267908195,0.0032934007981651817,0.00327486219501526
