Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
9995,0.02,0.99,-0.00,30.22,2.38,0.79,0.16
10099,0.04,1.00,-0.00,30.37,2.31,0.84,-0.04
10204,-0.01,0.99,0.01,30.27,2.34,0.81,0.02
10308,-0.01,0.99,-0.00,30.32,2.31,0.64,0.06
10413,0.04,1.01,0.00,30.27,2.21,0.79,0.15
10517,0.04,1.00,0.00,30.27,2.24,0.64,0.10
10621,0.03,1.00,0.00,30.22,2.29,0.73,0.11
10726,-0.01,0.99,0.00,30.13,2.30,0.76,0.07
10830,0.01,1.00,0.01,30.27,2.30,0.80,0.21
10935,0.03,1.00,-0.00,30.37,2.11,0.67,0.27
11040,-0.00,1.00,0.01,30.32,2.24,0.67,-0.07
11145,-0.01,0.99,-0.00,30.22,2.02,0.66,0.11
11249,0.02,1.01,0.01,30.27,2.40,0.71,-0.15
11354,0.00,1.00,-0.00,30.27,2.29,0.95,0.02
11458,0.04,1.01,0.00,30.22,2.47,0.67,0.27
11563,-0.01,0.99,-0.00,30.27,2.23,0.88,0.13
11667,0.03,1.00,0.00,30.27,2.16,0.82,0.19
11771,0.04,1.00,0.01,30.32,2.20,0.69,0.11
11876,0.04,1.01,-0.01,30.22,2.24,0.89,0.02
11980,0.01,1.00,-0.00,30.37,2.24,0.80,0.18
12086,0.02,0.99,0.00,30.27,2.24,0.63,0.13
12190,-0.01,0.99,-0.00,30.32,2.23,0.73,0.11
12295,-0.01,0.99,0.00,30.18,2.26,0.80,0.13
12399,0.04,1.00,-0.00,30.32,2.23,0.85,0.18
12504,0.04,1.00,-0.00,30.22,2.32,0.71,-0.03
12608,0.00,0.99,0.00,30.27,2.29,0.78,0.24
12712,-0.00,0.99,0.00,30.22,2.46,0.76,0.09
12817,-0.00,1.00,0.00,30.22,2.21,0.73,0.01
12921,0.03,1.00,-0.00,30.18,2.40,0.63,0.06
13026,0.03,1.00,0.00,30.37,2.46,0.85,-0.02
13131,0.00,1.00,0.00,30.32,2.37,0.60,0.08
13236,0.04,1.01,0.01,30.41,2.05,0.77,0.11
13340,-0.01,0.99,0.00,30.37,2.35,0.61,-0.06
13445,-0.01,1.00,-0.00,30.27,2.23,0.73,0.12
13549,-0.01,0.99,-0.00,30.22,2.42,0.76,0.21
13654,0.01,0.99,-0.00,30.27,2.39,0.75,-0.02
13758,0.00,1.00,0.00,30.18,2.31,0.75,0.09
13862,0.01,0.99,-0.01,30.22,2.50,0.76,0.18
13967,0.01,0.99,-0.00,30.22,2.30,0.68,0.00
14071,-0.00,1.00,0.00,30.27,2.41,0.77,-0.10
14176,0.04,1.01,0.00,30.18,2.40,0.85,0.21
14281,0.04,1.01,0.00,30.32,2.36,0.79,0.03
14386,-0.01,0.99,-0.00,30.37,2.36,0.69,0.03
14490,0.04,1.01,-0.00,30.27,2.43,0.51,0.04
14595,0.00,1.00,0.00,30.32,2.44,0.81,0.05
14699,0.05,1.01,0.01,30.27,2.40,0.61,0.21
14803,0.04,1.01,0.00,30.27,2.32,0.70,0.02
14908,0.02,1.00,0.00,30.13,2.24,0.69,0.15
15012,0.01,1.00,0.01,30.22,2.31,0.63,0.18
15117,0.00,0.99,0.00,30.18,2.12,0.73,-0.02
15221,0.01,0.99,0.00,30.32,2.24,0.71,0.15
15327,0.00,1.00,0.00,30.32,2.34,0.76,0.04
