Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
9786,1.02,0.01,-0.01,29.14,2.39,0.74,-0.07
9890,1.02,0.01,-0.01,29.19,2.31,0.71,0.05
9995,1.04,0.01,-0.02,29.19,2.26,0.72,0.11
10099,1.01,-0.00,-0.01,29.19,2.30,0.70,0.09
10204,1.01,0.00,-0.02,29.14,2.47,0.53,0.02
10308,1.02,0.01,-0.01,29.14,2.22,0.65,-0.08
10414,1.04,0.01,-0.01,29.14,1.95,0.66,0.02
10518,1.02,0.01,-0.02,29.09,2.37,0.69,-0.05
10622,1.03,0.00,-0.02,29.19,2.07,0.81,0.10
10727,1.01,0.00,-0.01,29.14,2.32,0.79,0.21
10831,1.01,-0.00,-0.02,29.24,2.38,0.75,0.11
10936,1.02,0.01,-0.01,29.14,2.31,0.69,0.23
11040,1.01,0.01,-0.01,29.24,2.28,0.74,0.05
11145,1.01,0.00,-0.02,29.19,2.24,0.69,0.23
11249,1.04,0.01,-0.01,29.19,2.35,0.59,0.02
11354,1.02,0.01,-0.01,29.19,2.25,0.63,0.02
11459,1.02,0.00,-0.01,29.19,2.20,0.79,-0.11
11564,1.03,0.01,-0.02,29.28,2.23,0.74,0.16
11668,1.02,-0.00,-0.01,29.14,2.24,0.88,0.08
11772,1.01,0.00,-0.01,29.24,2.05,0.79,0.00
11877,1.05,0.01,-0.01,29.19,2.22,0.69,0.17
11981,1.02,-0.00,-0.02,29.28,2.41,0.60,0.05
12086,1.01,-0.00,-0.02,29.28,2.36,0.73,0.01
12190,1.02,0.00,-0.01,29.14,2.41,0.73,0.07
12295,1.03,0.01,-0.02,29.24,2.27,0.63,0.21
12399,1.03,0.01,-0.01,29.33,2.31,0.78,0.18
12505,1.03,0.01,-0.02,29.24,2.37,0.72,0.08
12609,1.03,0.00,-0.01,29.14,2.32,0.82,0.06
12713,1.02,0.00,-0.01,29.19,2.21,0.72,-0.02
12818,1.03,0.00,-0.01,29.28,2.39,0.77,0.11
12922,1.03,0.01,-0.01,29.28,2.31,0.77,0.05
13027,1.00,-0.00,-0.01,29.33,2.31,0.69,0.13
13131,1.02,0.01,-0.01,29.33,2.39,0.84,0.06
13236,1.02,0.00,-0.00,29.24,2.27,0.68,0.07
13340,1.01,-0.00,-0.02,29.24,2.46,0.71,0.10
13445,1.02,0.01,-0.01,29.19,2.18,0.65,0.18
13550,1.03,0.01,-0.01,29.19,2.24,0.80,0.05
13655,1.02,0.01,-0.01,29.24,2.17,0.75,0.01
13759,1.01,0.00,-0.02,29.24,2.20,0.82,0.02
13863,1.01,0.00,-0.01,29.19,2.29,0.76,0.08
13968,1.02,-0.00,-0.01,29.28,2.14,0.86,0.18
14072,1.02,-0.00,-0.01,29.33,2.24,0.74,0.10
14177,1.03,0.00,-0.00,29.33,2.34,0.75,0.11
14281,1.02,0.00,-0.01,29.33,2.41,0.85,0.11
14386,1.02,-0.00,-0.01,29.19,2.50,0.69,0.06
14491,1.03,0.01,-0.02,29.19,2.34,0.71,-0.02
14596,1.02,-0.00,-0.02,29.38,2.41,0.80,0.15
14700,1.01,-0.01,-0.02,29.24,2.28,0.68,-0.05
14804,1.01,0.00,-0.02,29.28,2.31,0.79,0.12
14909,1.02,0.00,-0.00,29.24,2.40,0.92,0.23
15013,1.02,0.00,-0.01,29.24,2.43,0.62,0.05
15118,1.03,0.01,-0.00,29.24,2.30,0.83,0.03
15222,1.02,0.00,-0.02,29.24,2.27,0.63,0.00
15327,1.03,0.00,-0.02,29.28,2.24,0.79,-0.02
15431,1.01,0.01,-0.01,29.28,2.35,0.68,0.05
15537,1.02,0.01,-0.01,29.28,2.26,0.69,0.21
15641,1.03,0.00,-0.01,29.28,2.24,0.72,0.10
15746,1.02,0.01,-0.02,29.24,2.44,0.71,0.01
15850,1.03,0.01,-0.01,29.33,2.51,0.67,0.02
15954,1.01,-0.00,-0.01,29.24,2.40,0.72,0.14
16059,1.01,-0.00,-0.03,29.24,2.05,0.84,0.11
16163,1.02,0.00,-0.01,29.28,2.31,0.73,0.11
16268,1.03,-0.00,-0.02,29.28,2.48,0.61,0.11
16372,1.01,0.00,-0.01,29.28,2.11,0.88,0.08
16477,1.03,0.01,-0.02,29.24,2.24,0.69,0.25
16582,1.02,0.01,-0.00,29.33,2.19,0.90,0.18
16687,1.02,0.01,-0.01,29.33,2.15,0.64,0.01
16791,1.02,0.01,-0.01,29.38,2.35,0.85,0.21
16896,1.03,0.01,-0.01,29.28,2.08,0.72,0.11
17000,1.01,-0.01,-0.01,29.24,2.49,0.69,0.09
17104,1.03,0.01,-0.01,29.24,2.30,0.63,0.18
17209,1.02,0.00,-0.01,29.24,2.21,0.84,0.31
17313,1.01,-0.00,-0.02,29.28,2.34,0.73,0.12
17418,1.03,0.00,-0.01,29.38,2.21,0.60,0.14
17523,1.03,0.00,-0.02,29.28,2.17,0.70,0.03
17628,1.02,0.01,-0.01,29.33,2.19,0.69,0.09
17732,1.03,-0.00,-0.01,29.38,2.22,0.87,0.11
17837,1.03,0.00,-0.01,29.19,2.31,0.64,0.03
17941,1.02,-0.00,-0.01,29.28,2.34,0.76,0.11
18045,1.02,-0.00,-0.01,29.33,2.12,0.63,0.27
18150,1.02,0.01,-0.02,29.33,2.32,0.82,0.18
18254,1.02,0.00,-0.02,29.33,2.24,0.83,0.11
18359,1.02,-0.00,-0.02,29.28,2.30,0.77,-0.04
18463,1.04,0.01,-0.01,29.28,2.34,0.71,0.03
18569,1.03,0.01,-0.02,29.33,2.20,0.79,-0.02
18673,1.00,-0.01,-0.01,29.33,2.34,0.62,0.17
18778,1.02,-0.00,-0.02,29.33,2.37,0.77,0.17
18882,1.01,0.00,-0.01,29.33,2.20,0.82,0.16
