x,y,z
0.0,0.0,0.0
8.276842098372006e-06,2.1445351047173656e-06,-2.1282707600033035e-05
2.5067300576820194e-05,1.5062712469593104e-05,-7.849421564963573e-05
4.2119595619589865e-05,3.7493530699644e-05,-0.0001431615068390584
5.903333737689323e-05,5.53142819551302e-05,-0.0002048564301056631
7.55341249024698e-05,6.711976652791511e-05,-0.00027512374432835747
9.208149142939857e-05,8.207947976655257e-05,-0.00035550573034659873
0.0001173729109968464,-5.274878501675863e-05,-0.0002642893318153846
0.00015106277709760635,-0.00035326437767030345,-6.090968908884342e-06
0.00017833635566707055,-0.0006659154659207265,0.00023313895581511147
0.00020911607977655106,-0.0009784624692361346,0.00046351924607269495
0.0009572544122682962,-0.0009332439173774937,0.0008495679186543604
0.0024143787660761,-0.0005303029287059577,0.0013929116896010875
0.0038837018903502855,-0.0001273093427373107,0.0019371473278100382
0.0053634826154898944,0.00026381363348775206,0.00246839108361026
0.006843100562126822,0.0006383960789851119,0.002993300094508604
0.008322881246389675,0.0010112778078122042,0.0035201625241995564
0.009802823977868731,0.0013822754955509634,0.0040503809220666254
0.011282867911204971,0.001749310717291253,0.004577140747433634
0.012772954083481669,0.002117858054939846,0.005070512985817174
0.014272861834230289,0.0024869749846454232,0.005520123113716425
0.015727912103614024,0.0030302805146437337,0.005840444167342549
0.01713647969789633,0.0037479275492462096,0.006051752058960741
0.018550362334504186,0.004465581581662221,0.006262704553141842
0.019807036884881824,0.005179316705901622,0.00686369133519053
0.020899373798120492,0.005895989182106545,0.00783513252124226
0.02206223751147408,0.0070772470790647435,0.00868052812847868
0.023295755163290462,0.00872281584050184,0.009416107951530086
0.024529271960589863,0.010371274649411424,0.010146963923323331
0.02576260539507528,0.012014237620823208,0.010872793530877225
0.02700445396889601,0.013656067424813666,0.011627262272675886
0.028264461990080262,0.015299899998099454,0.012402715525499805
0.029534198257518535,0.016945049755259477,0.013144682559382944
0.030804142872564503,0.018585994554399715,0.013871036956364017
0.032074465066694285,0.020226600250037755,0.01460082397646332
0.03334704925267594,0.0218779744488683,0.015310721666841718
0.03462172924385956,0.02353628496280147,0.015982664047208862
0.03589723237748234,0.02519467327628596,0.016621853751409302
0.03717166163743901,0.026851090881914282,0.017234356977352868
0.03844345283676836,0.028504409770434492,0.017769475250306047
0.039711659752571675,0.030159785361503762,0.018283313567858162
0.040975921432280744,0.031808472975584846,0.01882441777496182
0.04223932662204003,0.03345494983717287,0.01933564097734054
0.043503431464474364,0.03511806366310976,0.01981690624623429
0.04476812285263046,0.03679894623774088,0.02027895865881705
0.04603330102721111,0.03849547100270695,0.02073188590577529
0.04729872230071536,0.04019955252949894,0.021188568455108428
0.04856382212465069,0.04189882375671513,0.02164775353084724
0.049828209969173434,0.04358753104667353,0.022098196594981596
0.051111252679076666,0.04543524924192954,0.022970152019256878
0.05241244647302643,0.04744483855284655,0.02426154812832932
