timestamp,Filtered_X,Filtered_Y,Filtered_Z
2,2.1253221889686875e-07,1.1126763569299083e-07,-7.788983443623004e-06
16,7.408155741086638e-07,3.704868448232594e-07,-2.7346814316772913e-05
52,1.4211188214180038e-06,6.7411659924615e-07,-5.415477687375528e-05
96,2.146248776008626e-06,9.59984179002503e-07,-8.635912378599193e-05
141,2.8070658730912013e-06,1.1468603348727458e-06,-0.00012249516975835337
187,3.3355458920156605e-06,1.1629767856763036e-06,-0.00016199895407586462
232,3.7106198033353683e-06,9.919162635212817e-07,-0.00020446216565958924
278,3.9271030786261865e-06,6.458856585842523e-07,-0.0002495924994340059
325,4.003964891916317e-06,1.4444906511954837e-07,-0.0002971586043783689
370,3.941999077593093e-06,-5.086140107345534e-07,-0.0003467966243971314
415,3.7401006670619604e-06,-1.303905643990269e-06,-0.0003983840365908196
459,3.413619310560238e-06,-2.2279032335902702e-06,-0.00045201393062977157
504,2.9673675492665758e-06,-3.283243328477466e-06,-0.000507425336036749
548,2.4058015801183895e-06,-4.456712561047913e-06,-0.0005643775119172558
593,1.7231934869989728e-06,-5.756708852587729e-06,-0.0006231818391045671
640,9.2707975559323e-07,-7.1760514547908654e-06,-0.0006838033722327838
684,1.043757687302745e-08,-8.719796965196662e-06,-0.0007460520329008373
730,-1.0625179753160446e-06,-1.0430427556683185e-05,-0.0008101058986095607
776,-2.310078509663349e-06,-1.2325427001880135e-05,-0.0008759559871007372
821,-3.746680216460006e-06,-1.4417182940169548e-05,-0.0009434396270118131
867,-5.393836066591808e-06,-1.6726444867748703e-05,-0.0010125659576091027
913,-7.266072965780192e-06,-1.926720645693363e-05,-0.0010833377518010537
958,-9.3772915828727e-06,-2.2052873511568825e-05,-0.0011557591212064179
1004,-1.1727437453171827e-05,-2.507734753495201e-05,-0.0012299791071874804
1049,-1.4292629572331406e-05,-2.8310033383152957e-05,-0.0013061208129787178
1094,-1.70646256102812e-05,-3.174297509610907e-05,-0.0013841710587143917
1141,-2.0059082874977198e-05,-3.539135528351197e-05,-0.0014639874492274755
1188,-2.3276424817095197e-05,-3.925560035513384e-05,-0.0015455668568133889
1232,-2.6724497140793383e-05,-4.335072540042581e-05,-0.0016289181382881089
1280,-3.044045156234339e-05,-4.772011808225305e-05,-0.0017140811386660096
1327,-3.443074027969302e-05,-5.2369965893939246e-05,-0.0018010545360439714
1373,-3.868676583528712e-05,-5.7291880700723806e-05,-0.0018898227850764066
1419,-4.3229643963431044e-05,-6.250636510605169e-05,-0.0019804105375794342
1466,-4.805785596757227e-05,-6.79973065513067e-05,-0.002072817281252627
1511,-5.314336399229621e-05,-7.37301821294148e-05,-0.002166702542825506
1555,-5.8473670019406826e-05,-7.97088849410303e-05,-0.0022622036668438657
1602,-6.402330085173525e-05,-8.590873965468424e-05,-0.002359454185944879
1647,-6.975296244661839e-05,-9.228301141782668e-05,-0.0024582645887138072
1693,-7.564973767324236e-05,-9.88338133515924e-05,-0.002558771984307722
1740,-8.170112140279353e-05,-0.00010554903126528587,-0.0026609638967773582
1786,-8.788180111825277e-05,-0.0001123895165768379,-0.0027646599409585776
1831,-9.416725915152455e-05,-0.00011933151607654267,-0.002869836116202614
1876,-0.00010055424288399445,-0.00012637918676506837,-0.002976644629823323
1924,-0.00010705420642207854,-0.00013355090698007117,-0.0030850943328054638
1971,-0.0001136563511492851,-0.0001408289069433327,-0.003195171853682829
2016,-0.00012033560302674077,-0.00014817430719766024,-0.003306855553133645
2061,-0.00012706906159341177,-0.00015557080794427204,-0.003419971149611837
2107,-0.00013385780862544322,-0.00016303542016256196,-0.0035346702203224085
2153,-0.00014073490373798822,-0.00017060299469074332,-0.0036512955318400825
2200,-0.0001477119196129963,-0.000178276087050799,-0.0037695542957897413
2246,-0.0001547857587553194,-0.0001860488953382459,-0.003889134803357215
2293,-0.00016197249865427984,-0.00019393699661613317,-0.004010203164293018
2340,-0.00016926404842746492,-0.00020191479106749328,-0.004132753629928165
2385,-0.00017663938476278693,-0.00020997372298307192,-0.004256615953899684
2430,-0.00018408999288316644,-0.00021811739665626218,-0.004382081598490193
2477,-0.00019163141164470064,-0.00022636097544123627,-0.004509171242448956
2525,-0.00019927141239416024,-0.00023471927261872286,-0.0046377410998954946
2571,-0.00020700552860179752,-0.0002431819254109885,-0.00476777908014264
2617,-0.00021486624672918155,-0.00025178050776304657,-0.004899327020745101
2664,-0.000222873270153947,-0.000260522337899249,-0.005032404005289788
2709,-0.0002310335074533925,-0.00026941540114994796,-0.00516716103915825
2755,-0.0002393815471204403,-0.000278506431611653,-0.005303789816385519
2802,-0.000247940855809785,-0.00028782409797540405,-0.005442160454042836
2849,-0.00025671803974018653,-0.00029736746450671466,-0.005582120457496177
2895,-0.00026571219612882995,-0.00030712104978249956,-0.00572366548827109
2942,-0.0002749283835672266,-0.00031709566109344945,-0.005866803267183091
2990,-0.00028435416767021675,-0.00032727925110860297,-0.006011677139215581
3035,-0.0002939510953522825,-0.0003376286575311183,-0.006158401765581894
3079,-0.0003036846525474894,-0.00034811044061582686,-0.006306791079510042
3125,-0.00031352871602718143,-0.00035869929027177263,-0.006456817693156626
3171,-0.00032348717574212416,-0.00036940627866945163,-0.006608486066123301
3218,-0.00033358288973183396,-0.00038025945846634847,-0.0067616685022669825
3265,-0.00034382927691670737,-0.0003912645275978591,-0.00691622257033702
3312,-0.0003542348032244308,-0.0004024237823624617,-0.007072306314032011
3358,-0.0003648017920896427,-0.00041374675079565074,-0.00723007464752319
3405,-0.00037551794078500005,-0.0004252215131155814,-0.007389515650639334
3451,-0.00038639333819650814,-0.00043685790347696053,-0.007550645324390901
3499,-0.0003974523196051803,-0.00044868678319215914,-0.007713487938522393
3546,-0.0004087110475295813,-0.0004607164754717008,-0.00787805500229418
3593,-0.0004201778978931504,-0.00047295508892962603,-0.008044353938525565
3640,-0.0004318536760281429,-0.00048541068733783127,-0.008212384143010778
3686,-0.00044376117085414776,-0.0004981054095755494,-0.00838217392167668
3734,-0.0004559033798022592,-0.0005110348762677762,-0.008553574939708953
3780,-0.00046825531259839725,-0.0005241734245398891,-0.008726404800450832
3825,-0.0004808104412232134,-0.0005375206153196973,-0.008900655767963079
3872,-0.0004935829331610868,-0.0005510915926311989,-0.009076496294634652
3919,-0.0005065733522470419,-0.000564881017008403,-0.009254078884383038
3965,-0.0005197676382096973,-0.0005788752394632331,-0.009433387146284413
4012,-0.0005331667288430195,-0.0005930824521030727,-0.009614422681116275
4059,-0.0005467642558400459,-0.0006074892079348236,-0.009797179318769023
4104,-0.0005605394887042332,-0.0006220681382309111,-0.009981636281789299
4148,-0.0005744678204878432,-0.0006367954019775154,-0.010167619182545292
4193,-0.0005885472804610575,-0.0006516690897872506,-0.010355128188160624
4240,-0.0006027804809607004,-0.0006666917326834753,-0.010544316376245134
4285,-0.0006171480827263918,-0.0006818445933737871,-0.010735162932969352
4330,-0.0006316459088791894,-0.0006971309084950497,-0.01092766450366504
4377,-0.0006462890016614333,-0.0007125711581730353,-0.011121685820846565
4423,-0.0006611066602421456,-0.0007281937823014913,-0.011317260805956946
4470,-0.0006761227431076988,-0.0007440232741340373,-0.011514563108552733
4517,-0.0006913310739590419,-0.0007600535969075029,-0.01171358121031149
4563,-0.0007067329917956791,-0.0007762860677164495,-0.01191431848460639
4610,-0.0007223590860870109,-0.0007927503765922065,-0.012116810103021139
4657,-0.0007382389941522595,-0.0008094752383411667,-0.012321084780359823
4704,-0.0007543648287794904,-0.0008264456750393677,-0.012527130724964032
4748,-0.0007707143417062704,-0.0008436328276632224,-0.01273492292045904
4794,-0.0007872878540617422,-0.0008610442908492122,-0.012944460293657416
4841,-0.0008040856769793547,-0.0008786803660462241,-0.013155743146006961
4885,-0.0008210862350321171,-0.0008965128658967156,-0.013368751957971825
4930,-0.0008382745101151655,-0.0009145331255099568,-0.013583320913623893
4977,-0.0008556578284639835,-0.0009327555265827023,-0.013799455726836727
5023,-0.0008732301256126906,-0.0009511683076664141,-0.014017302479561726
5069,-0.0008909664301611683,-0.0009697458972350742,-0.014236686443967498
5115,-0.0009088498248972806,-0.000988479181563996,-0.014457591229419043
5163,-0.0009268639327508079,-0.0010073463872484866,-0.0146800002635211
5208,-0.0009449782930433492,-0.0010263107248414676,-0.014903886110262705
5253,-0.0009631897984250879,-0.0010453764869915185,-0.01512939907386944
5301,-0.0009815041526760554,-0.001064549199938655,-0.015356389940825737
5345,-0.000999929623703411,-0.0010838382450707004,-0.015585019333331968
5392,-0.0010184655076532012,-0.0011032429404423734,-0.01581544130919816
5437,-0.0010371010578624864,-0.0011227514832918757,-0.016047490768567783
