timestamp,Filtered_X,Filtered_Y,Filtered_Z
2,2.1272477786413733e-07,-1.225041777659988e-10,-7.79603978721776e-06
16,9.135974197442231e-07,2.2071243561952343e-07,-2.723163717218742e-05
52,2.180169032776429e-06,8.925812301093086e-07,-5.2471635021105964e-05
95,4.04548257085673e-06,2.0740977149721276e-06,-8.151119499424169e-05
139,6.484258005065638e-06,3.7804098049263934e-06,-0.00011387854035374506
185,9.460655328371125e-06,5.9871157479742855e-06,-0.00014867462926940295
229,1.2952879014076648e-05,8.665693091238022e-06,-0.00018550046196950053
275,1.6931014667868355e-05,1.1791368294345055e-05,-0.00022438194865279033
320,2.137198577642525e-05,1.5346728139298054e-05,-0.0002651250641850238
365,2.6222870317500926e-05,1.9272766571363804e-05,-0.0003076222316110441
411,3.142975753607608e-05,2.3522046946108956e-05,-0.0003516075496763534
457,3.6953309308816105e-05,2.8067665510643817e-05,-0.0003970187429483698
503,4.277207363786445e-05,3.289724388325228e-05,-0.00044399250568471306
547,4.8866510591540615e-05,3.798387325717121e-05,-0.0004924882598074575
593,5.5209794617428e-05,4.3293725273780954e-05,-0.0005424852783961893
640,6.17782805622203e-05,4.8806137442034004e-05,-0.0005937993353939166
685,6.857364129791082e-05,5.4539095145582616e-05,-0.0006463996208967138
729,7.561995375591059e-05,6.0514678191987714e-05,-0.0007004077347214618
774,8.291834491441518e-05,6.672612935816593e-05,-0.0007556374906482514
819,9.046191169952183e-05,7.317470631291217e-05,-0.0008120755832298766
864,9.824272309578759e-05,7.98528078922183e-05,-0.0008698770253164368
909,0.00010625446481407853,8.675438459124414e-05,-0.0009291939694836355
952,0.00011451369808638005,9.389551371984785e-05,-0.000990003117406211
997,0.00012303962422004097,0.00010129482473482371,-0.001051966882882601
1041,0.00013182094319438202,0.00010893397022768588,-0.00111509052478194
1087,0.00014084665215299312,0.00011680232633178157,-0.00117938047610164
1133,0.00015012840080307681,0.00012491863894104697,-0.0012448183097039324
1179,0.0001596728560802918,0.00013328938475301838,-0.0013115467496353026
1224,0.00016948504979214361,0.00014191945409266888,-0.0013794040480775136
1270,0.000179550607007649,0.00015078898760729998,-0.0014482508288515882
1317,0.0001898423311391081,0.00015985695756157706,-0.0015182681351893588
1363,0.00020033987382825108,0.00016910369470418487,-0.0015894722164250762
1411,0.0002110368124849867,0.00017852581723704465,-0.0016617147184554758
1458,0.000221938748015259,0.000188134670994957,-0.0017349885985509829
1504,0.0002330538531217254,0.00019795003848125032,-0.0018095884892061088
1548,0.00024439877837026044,0.00020798805425611847,-0.0018856527164436959
1595,0.0002559809836389822,0.00021826596223249451,-0.001963326224635316
1644,0.00026774885652267136,0.00022875144513008952,-0.0020428283056431575
1691,0.00027964301375652244,0.0002393863403400491,-0.0021234640863913696
1740,0.00029165902631369584,0.0002502020044957283,-0.002205242835996134
1786,0.0003038206838682632,0.0002612308021791869,-0.002288303967018489
1831,0.0003161275838910108,0.0002724529925326128,-0.002372205686903768
1879,0.0003285812874877019,0.00028392365788437187,-0.002457569669214602
1926,0.0003411888088038189,0.0002956881081821739,-0.0025448496900154407
1975,0.00035393818739753514,0.00030767289374234336,-0.0026330472955782766
2022,0.0003668614875715803,0.0003200614190589742,-0.0027231078596423597
2069,0.0003799876620463275,0.00033286844711546054,-0.002814886808472369
2117,0.00039331476685224227,0.0003459361816826246,-0.00290691771366008
2163,0.00040683547101292243,0.0003592377265500124,-0.002999044348420643
2211,0.0004205354949492955,0.00037267096097663493,-0.0030906853196915897
2259,0.00043436456942565394,0.00038652563817121816,-0.0031844955548372784
2310,0.0004482270311705857,0.00040087706559627733,-0.003281552337039109
